Company,Profit During all period
SSI,0.4340875
BCM,25.6075875
VHM,-35.37153125
VIC,-22.5715625
VRE,0.0
BVH,-4.1256875
POW,-9.12525
GAS,0.9358125
ACB,43.528275
BID,0.0
CTG,8.52931875
HDB,24.0981
MBB,0.0
SSB,-2.8455
SHB,8.721987500000001
STB,18.84975
TCB,30.344475
TPB,7.491525
VCB,0.0
VIB,-12.619025
VPB,24.8496
HPG,-25.02786875
GVR,29.497443750000002
MSN,-14.100625
VNM,16.601399999999998
SAB,-11.5547875
VJC,24.150750000000002
MWG,0.0
PLX,-20.58913125
FPT,0.0
