Company,Profit During all period
SSI,0.4340875
BCM,0.0
VHM,-31.95778125
VIC,-3.4680000000000004
VRE,-15.6135
BVH,-0.35314999999999996
POW,0.44640625
GAS,0.0
ACB,42.5991
BID,0.0
CTG,-6.711656250000001
HDB,0.0
MBB,0.0
SSB,0.0
SHB,3.7262875
STB,17.93025
TCB,8.36198125
TPB,0.0
VCB,35.17513125
VIB,0.0
VPB,-4.55445
HPG,0.0
GVR,49.25611875
MSN,6.8558125
VNM,-3.8736
SAB,-11.60569375
VJC,0.0
MWG,-29.3918625
PLX,24.389025
FPT,1.235525
