time,open,high,low,close,volume,ticker,Symbol
2019-01-02,12140,12230,11930,12050,1216350,SSI,SSI
2019-01-03,12050,12050,11710,11810,1672220,SSI,SSI
2019-01-04,11810,11910,11560,11810,1232910,SSI,SSI
2019-01-07,12180,12180,11840,11840,735500,SSI,SSI
2019-01-08,11890,11890,11660,11680,1306960,SSI,SSI
2019-01-09,11810,11860,11680,11710,1650530,SSI,SSI
2019-01-10,11680,11800,11610,11610,1212750,SSI,SSI
2019-01-11,11680,11960,11680,11890,1820470,SSI,SSI
2019-01-14,11910,11910,11730,11730,776770,SSI,SSI
2019-01-15,11730,11840,11710,11810,995860,SSI,SSI
2019-01-16,11840,11860,11660,11710,1467160,SSI,SSI
2019-01-17,11710,11730,11430,11460,1852510,SSI,SSI
2019-01-18,11460,11530,11310,11430,1521200,SSI,SSI
2019-01-21,11430,11780,11430,11640,1700870,SSI,SSI
2019-01-22,11640,11780,11610,11610,1156270,SSI,SSI
2019-01-23,11550,11680,11500,11560,1188790,SSI,SSI
2019-01-24,11680,11730,11590,11610,1224550,SSI,SSI
2019-01-25,11610,11960,11610,11910,2422010,SSI,SSI
2019-01-28,11910,11980,11800,11840,1266510,SSI,SSI
2019-01-29,11890,11910,11750,11910,1011500,SSI,SSI
2019-01-30,11910,11910,11810,11810,971710,SSI,SSI
2019-01-31,11860,12050,11750,11860,1569170,SSI,SSI
2019-02-01,11780,11910,11780,11860,985310,SSI,SSI
2019-02-11,11960,12230,11910,12230,1946520,SSI,SSI
2019-02-12,12230,12500,12180,12340,3517680,SSI,SSI
2019-02-13,12390,12500,12340,12360,2327970,SSI,SSI
2019-02-14,12320,12410,12300,12320,1420580,SSI,SSI
2019-02-15,12280,12340,12160,12210,1828720,SSI,SSI
2019-02-18,12340,12390,12250,12320,1754600,SSI,SSI
2019-02-19,12320,12570,12320,12390,3414120,SSI,SSI
2019-02-20,12390,12550,12390,12500,2300940,SSI,SSI
2019-02-21,12530,12680,12500,12680,2871900,SSI,SSI
2019-02-22,12730,12860,12590,12840,3132140,SSI,SSI
2019-02-25,12960,13090,12930,13000,3266350,SSI,SSI
